datetime,accel_x,accel_y,accel_z,disp_x,disp_y,disp_z,total_displacement
2017-07-09 20:02:47.102392971,-0.3566,-0.4022,0.5711,646440.1045124256,-273550.20335920353,-508965.2512346968,867041.0310038939
2017-07-09 20:02:47.302510023,0.6806,-0.8531,-1.6582,646627.8206310021,-273632.0182304128,-509136.9043184635,867307.5620296624
2017-07-09 20:02:47.502341985,0.2168,0.8313,-0.1488,646815.2779835834,-273713.68335068127,-509308.31880446384,867573.7132312197
2017-07-09 20:02:47.702570974,1.9337,-1.0818,-1.3811,647003.1853024574,-273795.55409470614,-509480.12922807597,867840.4976214294
2017-07-09 20:02:47.902626991,-0.612,-0.6461,0.5521,647190.9057999491,-273877.3799714555,-509651.76913328766,868107.0288800094
2017-07-09 20:02:48.102714002,0.4161,-0.9621,-1.7879,647378.6720388258,-273959.2570427029,-509823.5072083279,868373.6684356241
2017-07-09 20:02:48.302335023,0.1513,0.6881,-0.1267,647566.0070110878,-274040.9160076387,-509994.8503650594,868639.6862229294
2017-07-09 20:02:48.502526998,1.1505,-1.1226,-1.1477,647753.9239053084,-274122.85352295556,-510166.7295919073,868906.5408551106
2017-07-09 20:02:48.702349007,0.0353,-0.7766,0.2648,647941.4949280546,-274204.67062188115,-510338.2806031465,869172.9073604586
2017-07-09 20:02:48.902329981,0.7279,0.0205,-0.9083,648129.2442801979,-274286.5519891639,-510510.00441396213,869439.5289495805
2017-07-09 20:02:49.102338016,0.2941,0.617,-0.2662,648317.0308031293,-274368.41975447605,-510681.7621109341,869706.1942637196
2017-07-09 20:02:49.302335977,0.4393,-1.0489,-0.757,648504.8254392752,-274450.32535141904,-510853.5414362011,869972.8906704122
2017-07-09 20:02:49.502507984,0.7305,-0.9327,0.0486,648692.8127718957,-274532.3395979963,-511025.46830316907,870239.8520416867
2017-07-09 20:02:49.702793002,0.5398,0.7281,-0.5592,648880.9278900061,-274614.37094024394,-511197.5146665921,870506.9846403312
2017-07-09 20:02:49.903167009,1.6023,0.2792,-1.4869,649069.1909218188,-274696.427520178,-511369.69717089966,870774.3158137535
2017-07-09 20:02:50.102334022,-0.3079,-0.5933,-0.2305,649256.307698956,-274778.0133501707,-511540.8516418744,871040.0407593454
2017-07-09 20:02:50.302331984,1.6986,-1.0337,-1.3435,649444.273092659,-274859.9809133255,-511712.7739290219,871306.9699954547
2017-07-09 20:02:50.502489984,0.3584,0.7621,-0.4353,649632.4032545828,-274941.98353458935,-511884.851227588,871574.1245496846
2017-07-09 20:02:50.702329993,2.2251,0.1725,-2.006,649820.3233957906,-275023.8489893297,-512056.735258637,871840.966194437
2017-07-09 20:02:50.902357995,-0.4741,-0.451,0.1817,650008.4013474593,-275105.8095013905,-512228.77371397207,872108.0465539889
2017-07-09 20:02:51.102249979,2.3257,-1.5368,-1.8729,650196.4443346419,-275187.7756863481,-512400.7700191538,872375.0782942121
2017-07-09 20:02:51.302452027,0.4032,0.8172,-0.3266,650384.7951667641,-275269.83625970985,-512573.04620814597,872642.5340525518
2017-07-09 20:02:51.502322018,2.5979,0.2537,-1.9282,650572.9373793681,-275351.7505918218,-512745.11368598987,872909.6660097531
2017-07-09 20:02:51.702520012,-0.6469,-0.6382,0.6336,650761.3624214705,-275433.8249306204,-512917.43814643164,873177.2105885829
2017-07-09 20:02:51.902706980,0.8201,-0.857,-1.4949,650949.8099513354,-275515.92909325816,-513089.8130238732,873444.8113582644
2017-07-09 20:02:52.102410972,0.0315,1.0025,-0.264,651137.8040843304,-275597.7951879863,-513261.7825542128,873711.761424196
2017-07-09 20:02:52.302331984,2.2314,-1.1853,-2.0739,651326.0916976361,-275679.7976218425,-513434.0218557684,873979.1320975159
2017-07-09 20:02:52.502447009,-0.6086,-0.2688,0.5884,651514.5376623203,-275761.8903991897,-513606.40474357596,874246.7340376535
2017-07-09 20:02:52.702335000,0.6898,-0.5131,-1.3701,651702.797392861,-275843.91054186126,-513778.64680261054,874514.0919522272
